Ser No.,C,Al,Cu,Fe,Mn,Ni,Ti,V,Cr,Mo,Nb,Zr,Liquidus,Term. Temp,Solidifcation Range,Tot Vol Frac BCC,Tot Vol Frac FCC,Tot Vol Frac BCC+FCC,Tot Vol Frac Other,Acceptable
540,0.137939413,0,0,42.02412387,0.60314911,6.139499395,18.16757667,0,12.10824507,12.08319289,8.736273578,0,1474.46,1091.61,382.85,0.217689179,0.007672271,0.225361451,0.774638549,0
541,0.160929315,0,0,48.81186448,0.703673962,6.956963967,13.6256825,0,14.12628592,9.06239467,6.552205184,0,1466.55,1112.33,354.22,0.354256344,0.022170799,0.376427142,0.623572858,0
542,0.183919218,0,0,55.5996051,0.804198814,7.774428539,9.083788336,0,16.14432676,6.041596447,4.368136789,0,1396.49,1136.67,259.82,0.578190034,0.050948192,0.629138226,0.370861774,0
543,0.20690912,0,0,62.38734571,0.904723666,8.591893111,4.541894168,0,18.16236761,3.020798223,2.184068395,0,1352.31,1158.13,194.18,0.768215207,0.112120316,0.880335523,0.119664477,0
544,0,0,0,1.297680175,0,1.234711965,45.41894168,0,0,30.20798223,21.84068395,0,2400.97,1021.85,1379.12,0.390203683,0,0.390203683,0.609796317,0
545,0,1.019533165,0,1.167912158,0,1.111240769,49.49750958,0.360004762,0,27.18718401,19.65661555,0,2400.97,993.06,1407.91,0.607782543,0,0.607782543,0.392217457,0
546,0,2.039066331,0,1.03814414,0,0.987769572,53.57607749,0.720009524,0,24.16638579,17.47254716,0,2400.97,987.37,1413.6,0.912901635,0,0.912901635,0.087098365,0
547,0,3.058599496,0,0.908376123,0,0.864298376,57.65464539,1.080014286,0,21.14558756,15.28847876,0,2362.04,988.31,1373.73,0.983136808,0,0.983136808,0.016863192,1
548,0,4.078132662,0,0.778608105,0,0.740827179,61.7332133,1.440019047,0,18.12478934,13.10441037,0,2306.44,991.12,1315.32,0.986289861,0,0.986289861,0.013710139,1
549,0,5.097665827,0,0.648840088,0,0.617355983,65.8117812,1.800023809,0,15.10399112,10.92034197,0,2240.06,996.48,1243.58,0.988760221,0,0.988760221,0.011239779,1
550,0,6.117198992,0,0.51907207,0,0.493884786,69.89034911,2.160028571,0,12.08319289,8.736273578,0,2160.28,1052.19,1108.09,0.990008409,0,0.990008409,0.009991591,1
551,0,7.136732158,0,0.389304053,0,0.37041359,73.96891701,2.520033333,0,9.06239467,6.552205184,0,2062.54,1190.44,872.1,0.990000111,0,0.990000111,0.009999889,1
